,United States,,California,,"Alameda County, CA",,"Alpine County, CA",,"Amador County, CA",,"Butte County, CA",,"Calaveras County, CA",,"Colusa County, CA",,"Contra Costa County, CA",,"Del Norte County, CA",,"El Dorado County, CA",,"Fresno County, CA",,"Glenn County, CA",,"Humboldt County, CA",,"Imperial County, CA",,"Inyo County, CA",,"Kern County, CA",,"Kings County, CA",,"Lake County, CA",,"Lassen County, CA",,"Los Angeles County, CA",,"Madera County, CA",,"Marin County, CA",,"Mariposa County, CA",,"Mendocino County, CA",,"Merced County, CA",,"Modoc County, CA",,"Mono County, CA",,"Monterey County, CA",,"Napa County, CA",,"Nevada County, CA",,"Orange County, CA",,"Placer County, CA",,"Plumas County, CA",,"Riverside County, CA",,"Sacramento County, CA",,"San Benito County, CA",,"San Bernardino County, CA",,"San Diego County, CA",,"San Francisco County, CA",,"San Joaquin County, CA",,"San Luis Obispo County, CA",,"San Mateo County, CA",,"Santa Barbara County, CA",,"Santa Clara County, CA",,"Santa Cruz County, CA",,"Shasta County, CA",,"Sierra County, CA",,"Siskiyou County, CA",,"Solano County, CA",,"Sonoma County, CA",,"Stanislaus County, CA",,"Sutter County, CA",,"Tehama County, CA",,"Trinity County, CA",,"Tulare County, CA",,"Tuolumne County, CA",,"Ventura County, CA",,"Yolo County, CA",,"Yuba County, CA",
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
20 years,2212618,11682,264323,3826,9360,673,10,8,101,73,2352,396,247,112,131,61,5396,537,81,65,685,202,7319,565,160,79,1377,399,1250,303,46,33,5457,482,1013,250,186,81,131,68,71468,1541,1163,256,948,221,33,40,410,138,2499,385,20,24,241,181,3242,351,815,209,424,185,20174,1041,1726,310,101,74,17708,1146,8695,688,393,159,16662,1021,21844,1102,3187,454,4954,508,3596,475,3143,382,6315,517,10115,781,4097,564,846,208,0,12,240,88,2028,312,2811,385,3750,422,520,121,284,180,18,29,3377,464,143,81,6194,561,4488,585,349,113
21 years,2170437,11474,265098,4264,10717,813,0,12,118,83,3087,620,219,144,164,75,6461,499,81,54,719,214,7454,612,289,134,1254,292,1347,263,68,59,6259,567,919,224,363,130,47,38,68213,1716,1306,309,905,200,98,54,358,140,2487,417,21,24,52,71,2742,323,823,197,527,224,20922,944,2114,318,82,60,17193,1037,8396,644,681,161,16128,1065,23629,1275,3521,368,5767,513,2876,568,3063,377,5839,616,9923,673,2355,468,1363,307,0,12,163,64,2715,368,2997,358,3622,484,590,146,403,146,85,80,3392,443,311,128,4896,470,4500,591,474,154
22 to 24 years,6336834,15159,801866,4498,30417,903,5,9,374,119,6854,605,456,152,295,82,21170,681,327,89,3185,287,20611,742,444,155,3779,451,3409,325,240,82,19361,719,3209,257,830,164,346,84,216088,1943,3144,297,3729,299,261,55,1410,161,4747,504,84,71,115,82,8724,365,2593,223,1025,282,63867,1169,5946,390,174,94,47661,1432,31366,779,947,163,46976,1123,67722,1440,17871,592,14223,678,6747,586,14368,545,11574,771,36902,936,7127,557,2763,326,58,36,552,109,8824,431,8639,449,10823,465,1777,153,1043,227,53,42,9759,546,699,164,17319,638,7270,707,1584,183
25 to 29 years,11331857,4400,1486984,673,67880,0,13,11,837,48,7440,100,1029,134,647,28,35273,0,706,99,4322,57,38773,57,812,9,4734,144,6047,84,393,82,33109,32,5377,108,1644,55,602,42,416112,0,5886,181,4864,137,456,57,2309,36,9987,92,281,89,223,137,14767,69,4134,67,2108,149,116031,0,9919,86,401,50,83939,0,61135,0,1915,62,83831,0,135423,0,50041,96,25799,74,7365,227,25769,44,14701,78,70999,0,8188,132,5703,52,37,32,1010,19,15968,91,15614,43,20108,89,3427,47,1965,127,206,19,16431,108,1384,119,28142,26,7681,90,3087,79
30 to 34 years,10887110,3818,1404674,768,69727,0,15,12,853,92,6409,71,1027,144,677,26,37055,0,751,129,4792,134,34659,62,814,33,4182,67,5474,84,674,72,30117,58,4887,28,1674,68,618,65,379345,0,5624,214,5776,142,439,54,2523,89,8812,46,297,74,781,229,14554,130,4217,64,2527,95,105862,0,11051,93,401,46,79454,0,58191,0,2011,65,75417,135,125119,0,48697,134,24680,80,7747,136,28518,42,12845,4,73102,0,7829,131,5594,73,37,39,1115,29,15347,127,15596,100,18597,98,3231,107,1744,90,281,57,15815,138,1320,62,26253,44,6701,154,2819,110
35 to 39 years,10550321,16910,1321745,5724,65087,1366,42,13,897,174,6566,433,990,251,699,105,38243,1033,823,153,5684,387,31458,984,967,142,4323,361,5111,376,370,100,27990,965,4425,368,2000,211,615,133,349818,2822,5210,488,6826,400,371,116,2520,272,8567,565,132,60,413,183,13519,549,4341,326,2775,300,104092,1579,13002,514,496,111,77887,1727,53456,1240,1983,220,71002,1525,113160,1893,35126,953,23888,906,8175,489,28178,871,12160,559,68588,1217,8160,416,5414,429,117,64,1069,130,14417,514,16064,664,17750,678,3067,272,1597,273,483,133,15134,665,1368,224,25897,771,6565,451,2668,244
40 to 44 years,10002861,16778,1261665,5786,59398,1366,43,27,667,159,5331,434,1176,253,564,95,40142,1050,635,147,5100,388,29129,955,739,138,3867,346,5038,387,662,103,25084,974,3843,371,1424,212,476,124,339267,2822,5202,452,8514,435,392,102,2458,273,7966,564,289,81,389,181,12727,543,4309,329,2565,311,104481,1580,12177,524,492,140,77042,1727,48046,1240,1900,216,67720,1508,103709,1894,29576,939,24211,897,6215,508,26617,875,12152,572,67635,1217,7909,411,4414,430,24,24,1001,130,12846,534,14887,663,16529,716,2846,261,1914,281,325,133,13361,677,1114,212,26758,778,6374,448,1994,258
45 to 49 years,10469781,4149,1284503,542,57136,0,4,5,926,79,5888,63,1202,88,611,27,41265,140,726,90,6215,95,27686,52,738,33,3571,74,5088,96,428,49,24720,18,3652,61,1869,71,592,40,346695,0,4777,119,10381,128,539,99,2530,81,7768,58,181,33,395,112,12298,65,4711,26,2565,110,114798,0,13483,135,422,40,76442,0,49125,0,1959,65,67939,0,104491,0,27490,59,23266,62,7151,79,27272,0,11853,70,67683,95,8306,95,5176,86,81,77,1143,17,13615,88,15592,131,16552,74,2788,35,1809,70,312,51,12894,105,1399,109,28300,56,5922,96,2083,82
50 to 54 years,10850737,3251,1275929,524,55083,0,9,8,1236,102,6498,86,1581,67,646,34,41923,0,804,129,7084,93,27664,94,821,51,3718,89,5047,76,540,6,24735,34,3684,20,2183,87,736,35,337869,0,4627,183,10475,94,550,65,2668,82,7453,59,242,8,464,107,12075,79,4634,64,3352,90,113234,0,13475,21,642,84,75089,0,49785,0,2089,55,67215,0,104158,0,25163,59,22597,63,8102,93,27181,0,12320,76,64029,95,8774,69,5985,61,109,7,1348,31,14942,67,17403,131,16727,0,2965,80,2129,65,418,61,12615,28,1551,79,29397,39,6014,102,2072,106
55 to 59 years,11143260,17729,1264187,4805,54961,1016,44,24,1619,190,7314,492,2192,309,683,102,41148,875,1209,145,8619,397,27855,833,721,120,4770,264,4704,343,728,135,24064,838,3342,296,2546,260,919,110,324365,2452,4890,375,10621,508,872,143,3269,307,6807,468,372,94,689,166,13268,460,5093,284,4369,372,106644,1435,13667,580,748,175,73213,1385,50697,1044,1851,161,66417,1313,103867,1509,23961,835,21753,718,10241,507,26831,717,13337,476,60724,1221,9926,474,6814,348,209,49,2036,181,15351,621,18923,621,17086,698,2840,223,2129,271,615,114,12133,555,2085,246,29853,760,5982,346,2201,250
60 and 61 years,4370261,13361,490110,4588,20842,812,7,7,561,144,2928,338,1031,243,301,75,15611,794,358,102,3096,333,10674,583,425,117,1843,259,2220,327,381,102,9033,734,1217,232,1353,228,367,84,124867,2017,1702,272,4189,432,314,109,1356,210,2860,345,110,61,191,91,4736,400,1826,266,1915,276,41406,1073,5272,449,416,111,27338,1031,19532,770,775,157,25947,1093,41023,1233,10701,607,9064,582,4310,355,10052,570,5388,447,22359,887,3769,392,2469,267,56,45,762,126,6588,407,7891,477,6596,559,1270,215,949,224,215,88,4635,469,839,175,10881,609,2305,303,988,183
62 to 64 years,6096664,14220,668292,5041,27966,796,44,21,985,162,4872,402,1140,252,281,82,20909,799,483,112,4746,411,14028,734,585,143,2978,275,2721,323,376,111,13151,707,1981,298,1509,215,470,90,168812,2435,2624,332,6069,453,394,96,2109,267,4042,361,235,80,298,114,6469,443,2702,243,3073,347,54411,1343,8272,502,727,161,37677,1276,27438,753,1075,147,32480,1082,55202,1238,14289,694,11501,635,5950,459,14359,674,7047,462,29753,958,5471,385,4426,380,12,14,1095,169,9056,523,11547,612,7757,477,1795,219,1603,237,393,112,6504,511,1705,235,15925,664,3478,301,1292,217
65 and 66 years,3743900,11531,409644,3610,17183,836,29,14,843,179,2910,257,852,216,303,83,12774,654,374,104,3065,333,8579,545,380,97,1555,199,1764,288,271,66,7231,515,1295,224,1274,255,260,82,101272,1753,1476,225,3822,348,199,70,1620,240,1822,219,250,112,159,106,4893,398,1684,200,2066,253,31681,951,4879,409,311,99,23860,1038,17396,628,670,164,19618,837,34762,1028,9704,550,7324,492,3965,293,8476,545,4522,334,18424,645,3882,403,2349,272,19,15,783,118,5149,413,7000,420,4757,426,949,151,983,183,236,74,4203,406,889,155,9857,448,2039,251,752,137
67 to 69 years,5151607,10653,556798,3773,23858,844,16,16,1076,185,4247,340,1287,216,308,76,18974,832,453,104,4180,393,12155,627,519,122,2862,300,2252,276,467,94,9623,610,1140,168,1550,206,515,102,135067,1690,2239,309,5933,448,489,114,2011,246,2867,349,146,64,212,116,5184,381,2714,228,2755,323,44999,1233,7054,388,670,137,34429,1035,22047,716,679,149,26554,930,45192,1231,12357,607,9236,544,5990,383,12138,600,6154,483,24297,707,4355,338,3731,288,145,53,1152,140,7116,523,11329,555,7171,493,1316,161,1318,219,316,90,4688,471,1127,194,12396,614,2478,269,1265,174
70 to 74 years,6843745,15439,729375,4360,30227,853,64,30,1328,183,5298,356,1711,236,320,69,24158,752,607,108,4766,376,15486,580,389,89,3215,258,2816,282,409,81,13076,659,2007,212,1733,222,513,88,176564,1762,2983,307,7934,462,644,111,2466,252,4390,332,266,80,286,124,7230,366,3291,213,3576,339,61809,1298,10697,452,589,135,44478,1002,27986,821,944,162,32141,977,59555,1091,16422,729,12885,549,6888,446,16018,685,8457,467,33292,902,5753,417,5139,305,89,46,1489,151,9681,497,12877,611,10051,556,1952,197,1311,177,438,94,7072,430,2049,246,16819,616,3746,266,995,174
75 to 79 years,4929902,11685,518080,3848,20301,727,13,11,623,140,3875,277,1101,186,291,74,16052,610,383,96,3563,341,10446,509,530,111,1908,195,2517,317,345,76,8617,461,1722,218,1502,209,401,78,129381,2004,1661,205,5410,360,467,107,1453,166,2800,311,226,77,221,70,4613,391,2189,222,2164,230,43804,1120,7504,385,472,103,34581,1014,19362,719,732,145,22726,906,42312,1039,11777,591,8949,496,5170,405,11563,580,6331,424,24715,702,3588,317,3421,252,76,63,891,121,5848,395,8792,456,6575,399,1427,168,1329,182,373,69,4759,341,1326,189,11760,586,2319,237,823,145
80 to 84 years,3525274,10508,382536,3482,15396,720,4,6,747,172,2773,258,642,144,163,57,12452,630,383,99,1812,286,7931,474,247,92,1380,232,1582,287,345,91,6363,453,976,183,653,148,263,84,98526,1733,1397,226,3644,369,379,111,1159,174,2159,275,149,81,82,68,3878,290,2021,212,1326,185,32410,912,5201,365,239,91,23623,942,14791,657,404,105,15746,765,31637,917,9636,528,6356,433,3553,381,8753,578,4978,400,18300,649,2618,308,2335,224,85,50,661,129,4329,391,5701,348,4990,424,1107,167,682,166,146,66,3406,310,884,164,8747,506,1806,221,580,130
85 years and over,4070765,9664,451736,3547,19002,760,15,12,732,143,3295,293,791,181,196,84,14131,695,285,111,2635,326,10539,539,314,81,1765,227,1636,287,313,102,6284,478,978,176,667,192,262,85,117083,1718,1472,224,4447,384,210,92,1203,219,2236,289,128,69,9,15,5321,417,2043,231,1966,252,38902,981,5471,350,233,86,24213,946,17367,762,583,152,16518,788,38546,1186,14265,742,7256,485,3888,377,11180,557,6201,433,22056,679,3022,316,2618,267,28,29,562,108,5311,391,7276,425,5395,376,1165,180,896,171,134,88,4059,317,894,189,10898,565,2318,243,523,148
